first_name,last_name,birth_date,hire_date
Georgi,Facello,9/2/1953,6/26/1986
Chirstian,Koblick,5/1/1954,12/1/1986
Sumant,Peac,4/19/1952,2/18/1985
Kazuhide,Peha,6/19/1954,4/3/1987
Alain,Chappelet,2/8/1953,9/5/1988
Sanjiv,Zschoche,9/13/1954,2/4/1986
Berhard,McFarlin,10/1/1954,4/13/1987
Kwee,Schusler,11/13/1952,2/26/1986
Claudi,Stavenow,1/7/1953,3/4/1987
Reuven,Garigliano,8/20/1955,10/14/1985
Hironoby,Sidou,5/15/1952,7/21/1988
Erez,Ritzmann,6/13/1952,7/9/1985
Jungsoon,Syrzycki,2/25/1954,9/2/1988
Hironobu,Haraldson,4/21/1953,9/21/1987
Akemi,Birch,11/26/1953,12/2/1986
Lunjin,Giveon,4/7/1952,10/2/1986
Dayanand,Czap,8/26/1955,5/28/1985
Kayoko,Valtorta,8/7/1954,9/8/1985
Armond,Peir,12/2/1955,12/10/1985
Nishit,Casperson,4/27/1955,6/21/1988
Diederik,Siprelle,4/15/1953,12/12/1987
Perry,Shimshoni,4/24/1955,9/18/1986
Xiadong,Perry,5/20/1953,11/5/1986
Zhenbing,Perng,1/29/1955,11/16/1986
Jaques,Munro,12/1/1954,1/27/1986
Heekeun,Majewski,12/15/1955,4/8/1987
Nigel,Aloisi,4/23/1954,11/2/1985
Hairong,Mellouli,4/6/1953,4/3/1988
Shigehito,Kropatsch,7/16/1953,3/28/1986
Pranav,Furedi,5/28/1953,8/31/1985
Xiaobin,Duclos,4/2/1954,10/19/1987
Yongmin,Roison,7/7/1954,5/12/1986
Leon,Trogemann,5/17/1954,1/9/1988
Ulises,Takanami,2/10/1952,11/22/1987
Lein,Vendrig,4/1/1954,7/5/1985
Basil,Ishibashi,12/12/1955,5/17/1985
Yishai,Cannane,11/30/1954,5/23/1988
Hercules,Benzmuller,11/27/1953,6/4/1986
Kauko,Birjandi,7/8/1953,5/25/1988
Saddek,Gopalakrishnan,5/14/1952,3/21/1988
Faiza,Baer,10/11/1954,7/22/1986
Hirochika,Piancastelli,6/30/1952,10/31/1988
Masali,Czap,2/13/1953,5/13/1985
Roded,Facello,4/1/1954,9/18/1987
Djelloul,Laventhal,8/20/1952,6/5/1987
Pradeep,Kaminger,10/3/1953,12/12/1985
Satyanarayana,Cochrane,12/10/1952,11/15/1987
Vasilis,Standera,8/12/1952,8/6/1988
Toshiki,Muniz,11/28/1953,9/11/1985
Nakhoon,Dengi,9/21/1954,11/14/1985
Anneli,Frijda,4/8/1952,7/30/1985
Parto,Wrigley,11/3/1952,2/19/1987
Takahiro,Deverell,2/17/1952,2/4/1987
Sibyl,Rahier,8/21/1955,1/11/1986
Volkmar,Ebeling,7/23/1953,1/2/1987
Prodip,Rosti,4/27/1955,8/28/1988
Arunas,Luce,12/28/1955,7/6/1985
Martien,Improta,2/13/1952,3/9/1986
Hisao,Tiemann,11/6/1953,4/30/1985
Volkmar,Unno,9/9/1955,3/13/1988
Bodh,Ranta,10/6/1952,3/12/1988
Tsvetan,Matzel,7/19/1953,4/2/1985
Ung,Zaiane,5/20/1954,12/25/1987
Jiakeng,Himler,12/25/1954,9/29/1985
Amstein,Kossowski,8/24/1952,10/8/1987
Yakkov,Servieres,12/21/1953,1/18/1986
Xiong,Varker,4/7/1953,12/3/1988
Udi,Gihr,11/16/1955,1/12/1986
Yonghoan,Alencar,12/28/1955,3/22/1986
Marke,Cesareni,7/24/1955,12/12/1986
Przemyslawa,Falby,8/18/1955,7/23/1987
Godehard,Eiter,11/5/1955,2/28/1986
Ramalingam,Gunderson,6/12/1952,5/4/1986
Jianhao,Thisen,4/14/1955,5/8/1986
Theirry,Yeung,6/29/1954,10/4/1988
Hidde,Hettesheimer,12/22/1952,6/18/1987
Adhemar,Talmor,7/11/1955,5/25/1986
Hidekazu,Angel,1/26/1955,3/29/1985
Aleksander,Danlos,7/11/1953,3/7/1987
Krisda,Krogh,4/18/1954,9/11/1985
Lalit,Francisci,3/23/1954,1/30/1986
Inderjeet,Chaudhuri,5/17/1955,2/16/1988
Hirochika,Narlikar,12/19/1955,8/6/1986
Otmar,Feinberg,6/16/1953,4/30/1987
Parviz,Rebaine,6/12/1953,1/8/1987
Bluma,Zeilberger,3/23/1954,7/13/1986
Valeri,Danley,8/26/1953,3/20/1986
Berhard,Daescu,12/14/1953,1/8/1986
Rildo,Straney,12/16/1955,1/26/1988
Bader,Szemeredi,11/25/1952,7/23/1985
Adib,Rullman,12/19/1955,7/21/1988
Zita,Minakawa,1/11/1954,9/1/1985
Fumitaka,Peak,11/17/1952,2/20/1987
Sachar,Erdi,7/6/1954,4/3/1985
Poorav,Ranze,10/23/1953,5/26/1987
King,Brendel,8/21/1955,9/26/1985
Jordanka,Ushiama,12/2/1952,4/15/1987
Monique,Doering,2/28/1954,6/17/1987
Ishfaq,Candan,6/24/1955,7/4/1985
Mizuhito,Kemmerer,8/11/1955,7/5/1988
Selwyn,Merey,3/13/1953,7/4/1986
Tadahiko,Sgarro,5/27/1954,7/30/1988
Supot,Naudin,12/14/1954,5/21/1985
Katsuyuki,Velasco,9/15/1952,4/20/1988
Chenxi,Leijenhorst,9/11/1955,3/7/1987
Tomoyuki,Kermarrec,11/23/1952,7/28/1985
Jianhua,Leivant,7/15/1953,7/26/1985
Dipayan,Koprowski,2/3/1954,3/3/1987
Theirry,Danley,3/4/1952,7/25/1986
Fen,Bratsberg,7/16/1954,4/20/1985
Billur,Gyorkos,10/1/1952,10/8/1986
Lakshmi,Deville,6/13/1952,2/25/1988
Muzhong,Chleq,8/18/1953,8/15/1985
Shimshon,Champarnaud,7/30/1952,11/7/1987
Vishwani,Petersohn,3/21/1952,4/26/1986
Georgi,Atchley,11/11/1954,4/21/1985
Oscal,Fasbender,7/27/1952,4/23/1986
Susumu,Reghbati,12/26/1954,12/13/1985
Mara,Bahi,7/20/1955,7/27/1986
Hironoby,Atchley,4/27/1954,8/14/1988
Gal,Scallan,3/13/1953,10/26/1985
Mountaz,Schicker,4/8/1953,10/27/1987
Berna,Skafidas,11/19/1955,2/19/1988
Eckart,Braunschweig,7/10/1955,7/29/1986
Premal,Noriega,9/5/1954,8/22/1988
Muneo,Papsdorf,3/7/1952,11/25/1985
Masako,Schiper,8/11/1954,10/11/1985
Chinya,Deyuan,6/24/1955,6/19/1985
Sumali,Candan,9/8/1954,7/20/1985
Shin,Foote,10/22/1954,7/6/1988
Alper,Axelband,8/30/1954,9/9/1986
Taegyun,Speckmann,9/12/1953,12/28/1986
Leon,Huttel,9/6/1954,2/4/1985
Srinidhi,Henders,7/13/1954,5/24/1985
Remzi,Cappello,12/13/1955,5/7/1986
Miyeon,Krider,2/23/1952,6/18/1986
Ottavia,Walstra,12/20/1954,4/26/1985
Lansing,Maliniak,5/22/1952,1/28/1988
Jinya,Beidas,10/13/1955,7/15/1985
Gou,Breugel,7/13/1955,6/26/1988
Jaques,Demke,10/26/1952,2/26/1985
Elvis,Katiyar,9/23/1952,5/6/1986
Przemyslawa,Erol,10/6/1952,8/9/1985
Adib,Raney,6/30/1952,7/24/1985
Barry,Boyle,6/20/1952,6/17/1985
Hailing,Thummel,9/8/1953,11/27/1986
Berna,Cochrane,10/14/1955,10/13/1986
Aris,Iwayama,2/23/1955,8/31/1985
Valeska,Birjandi,12/11/1955,11/14/1987
Boaz,Mukaidono,8/5/1954,8/20/1987
Shahab,Peng,4/28/1953,11/30/1985
Vugranam,Kakkad,2/13/1953,2/21/1987
Nalini,Azulay,12/13/1955,2/4/1988
Sachar,Rajcani,5/15/1954,5/26/1988
Hugh,Luca,3/17/1955,7/31/1986
Bogdan,Homond,10/13/1955,12/24/1985
Ishfaq,Masand,6/25/1954,3/21/1988
Zhanqiu,Botman,1/23/1953,7/6/1985
Kauko,Narlikar,3/25/1953,3/28/1985
Mitsuyuki,Bojadziev,11/7/1952,6/11/1986
Tadahiro,Fordan,5/11/1955,4/13/1986
Sakthirel,Yetto,6/24/1952,1/6/1988
Diederik,Covnot,12/15/1955,9/18/1985
Saeed,Gips,8/14/1955,11/9/1987
Saniya,Valtorta,5/29/1952,8/26/1988
Yurij,Rissland,12/11/1952,9/17/1985
Kellie,Mawatari,7/1/1954,9/22/1987
Hidefumi,Crelier,9/3/1955,2/2/1988
Kiam,Condotta,8/12/1955,11/11/1988
Randi,Cyre,10/1/1954,8/29/1985
Bezalel,Chinal,10/16/1955,11/26/1985
Aimee,Petersohn,5/14/1954,5/17/1985
Hitomi,Eppinger,10/18/1955,5/26/1987
Visit,Dredge,5/7/1953,9/8/1985
Gino,Glowinski,11/1/1953,10/20/1985
Abdelkader,Lanzelotte,2/3/1953,5/15/1985
Pranas,Marrakchi,6/5/1955,10/3/1986
Atilio,McAlpine,4/13/1954,11/24/1987
Nathalie,Pocchiola,7/19/1952,2/8/1985
Kauko,Billingsley,11/16/1953,8/29/1985
Kwangsub,Hanratty,11/3/1954,4/14/1987
Flemming,Massonet,6/5/1954,5/9/1987
Anneli,Jonsson,12/27/1954,4/20/1986
Toshimi,Shinomoto,11/17/1953,4/2/1988
Valery,Suomi,3/10/1952,3/14/1986
Kenroku,Pelc,4/23/1952,3/3/1988
Shiv,Ullian,3/4/1952,5/22/1988
Alselm,Assaf,9/27/1954,11/30/1987
Junsik,Junot,5/17/1954,4/30/1985
Oscar,Peir,5/30/1953,8/23/1986
Bedrich,Borovoy,9/15/1954,3/6/1987
Sanjiv,Anido,10/29/1953,3/3/1987
Josyula,Msuda,11/7/1953,9/2/1986
Youngkon,Picht,8/5/1954,9/16/1985
Marlo,Aingworth,11/16/1954,3/27/1987
Kotesh,Asser,3/30/1955,8/27/1986
Duke,Suomi,10/14/1953,5/3/1986
Kish,Cronau,4/18/1955,8/19/1986
Guttorm,Giaccio,12/1/1952,5/23/1988
Fox,Narahari,5/15/1955,9/10/1985
Karsten,Ranum,3/26/1952,12/14/1988
Rance,Picel,6/16/1955,7/1/1986
Aleksander,Feldhoffer,6/18/1954,11/12/1987
Otmar,Mahnke,7/16/1954,3/27/1986
Ulf,Basawa,3/3/1955,2/27/1986
Jinxi,Oxman,7/21/1953,7/3/1985
Xiadong,Standera,10/26/1955,9/20/1988
Alagu,Boyle,2/6/1952,7/3/1988
Zito,Dolinsky,4/26/1955,6/15/1987
DAIDA,Pehl,6/29/1955,7/6/1986
Subhash,Taubenfeld,5/28/1955,10/17/1988
Kotesh,Perfilyeva,8/5/1955,10/14/1986
Rimli,Alencar,6/22/1953,6/30/1988
Teiji,Mitzlaff,7/6/1954,2/3/1988
Martins,Fujisaki,12/1/1955,7/28/1987
Edwin,Rosti,12/22/1953,11/22/1985
Kaijung,Panangaden,7/20/1952,10/13/1986
Herb,Swen,12/7/1954,4/13/1985
Tomokazu,Foong,12/3/1953,9/12/1987
Shem,Isaak,3/5/1955,9/13/1988
Adil,Gammage,5/16/1955,4/5/1988
Fan,Malinowski,2/14/1952,10/23/1988
Valeri,Coorg,10/6/1953,1/18/1987
Magy,Nitsche,10/13/1953,5/11/1988
Gill,Stenning,7/19/1955,11/22/1986
Henk,Felder,12/20/1954,10/13/1988
Valeri,Ferriere,4/12/1952,3/16/1985
Fumitake,Benzmuller,5/15/1952,1/21/1987
Oksana,Gide,3/7/1953,2/21/1986
Dante,Rothe,10/26/1954,10/23/1985
Arve,Hofmeyr,11/26/1954,10/30/1985
Sanjoy,Ranft,6/14/1955,8/11/1985
Amalendu,Picci,2/19/1955,7/14/1988
Tadahiro,Lichtman,12/13/1954,6/19/1986
Koichi,Marrakchi,5/22/1952,11/17/1988
Aksel,Kossowski,11/27/1953,2/20/1986
Jiafu,Emiris,2/2/1953,11/3/1988
Sanjay,Anick,4/22/1953,4/25/1988
Chandrasekaran,Lampe,7/17/1953,2/15/1988
Gaurav,Penz,6/19/1954,12/4/1987
Chenxi,Thambidurai,8/12/1954,8/30/1988
Rosine,Grandbois,6/5/1953,9/1/1985
Amabile,Bhattacharjee,12/8/1952,3/17/1987
Gita,Muhlberg,4/27/1952,3/16/1987
Niranjan,Markovitch,5/25/1955,4/12/1986
Arto,Zlotek,5/18/1952,10/16/1986
Taiji,Nitta,4/13/1955,9/29/1985
