emp_no,first_name,last_name,birth_date,hire_date
10001,Georgi,Facello,1953-09-02,1986-06-26
10004,Chirstian,Koblick,1954-05-01,1986-12-01
10009,Sumant,Peac,1952-04-19,1985-02-18
10018,Kazuhide,Peha,1954-06-19,1987-04-03
10035,Alain,Chappelet,1953-02-08,1988-09-05
10053,Sanjiv,Zschoche,1954-09-13,1986-02-04
10058,Berhard,McFarlin,1954-10-01,1987-04-13
10066,Kwee,Schusler,1952-11-13,1986-02-26
10067,Claudi,Stavenow,1953-01-07,1987-03-04
10070,Reuven,Garigliano,1955-08-20,1985-10-14
10072,Hironoby,Sidou,1952-05-15,1988-07-21
10076,Erez,Ritzmann,1952-06-13,1985-07-09
10088,Jungsoon,Syrzycki,1954-02-25,1988-09-02
10100,Hironobu,Haraldson,1953-04-21,1987-09-21
10103,Akemi,Birch,1953-11-26,1986-12-02
10108,Lunjin,Giveon,1952-04-07,1986-10-02
10116,Dayanand,Czap,1955-08-26,1985-05-28
10126,Kayoko,Valtorta,1954-08-07,1985-09-08
10129,Armond,Peir,1955-12-02,1985-12-10
10130,Nishit,Casperson,1955-04-27,1988-06-21
10134,Diederik,Siprelle,1953-04-15,1987-12-12
10138,Perry,Shimshoni,1955-04-24,1986-09-18
10149,Xiadong,Perry,1953-05-20,1986-11-05
10150,Zhenbing,Perng,1955-01-29,1986-11-16
10152,Jaques,Munro,1954-12-01,1986-01-27
10153,Heekeun,Majewski,1955-12-15,1987-04-08
10157,Nigel,Aloisi,1954-04-23,1985-11-02
10161,Hairong,Mellouli,1953-04-06,1988-04-03
10186,Shigehito,Kropatsch,1953-07-16,1986-03-28
10198,Pranav,Furedi,1953-05-28,1985-08-31
10215,Xiaobin,Duclos,1954-04-02,1987-10-19
10217,Yongmin,Roison,1954-07-07,1986-05-12
10224,Leon,Trogemann,1954-05-17,1988-01-09
10229,Ulises,Takanami,1952-02-10,1987-11-22
10233,Lein,Vendrig,1954-04-01,1985-07-05
10258,Basil,Ishibashi,1955-12-12,1985-05-17
10272,Yishai,Cannane,1954-11-30,1988-05-23
10282,Hercules,Benzmuller,1953-11-27,1986-06-04
10283,Kauko,Birjandi,1953-07-08,1988-05-25
10286,Saddek,Gopalakrishnan,1952-05-14,1988-03-21
10302,Faiza,Baer,1954-10-11,1986-07-22
10305,Hirochika,Piancastelli,1952-06-30,1988-10-31
10326,Masali,Czap,1953-02-13,1985-05-13
10327,Roded,Facello,1954-04-01,1987-09-18
10340,Djelloul,Laventhal,1952-08-20,1987-06-05
10347,Pradeep,Kaminger,1953-10-03,1985-12-12
10355,Satyanarayana,Cochrane,1952-12-10,1987-11-15
10356,Vasilis,Standera,1952-08-12,1988-08-06
10363,Toshiki,Muniz,1953-11-28,1985-09-11
10364,Nakhoon,Dengi,1954-09-21,1985-11-14
10372,Anneli,Frijda,1952-04-08,1985-07-30
10387,Parto,Wrigley,1952-11-03,1987-02-19
10395,Takahiro,Deverell,1952-02-17,1987-02-04
10396,Sibyl,Rahier,1955-08-21,1986-01-11
10402,Volkmar,Ebeling,1953-07-23,1987-01-02
10404,Prodip,Rosti,1955-04-27,1988-08-28
10426,Arunas,Luce,1955-12-28,1985-07-06
10429,Martien,Improta,1952-02-13,1986-03-09
10432,Hisao,Tiemann,1953-11-06,1985-04-30
10442,Volkmar,Unno,1955-09-09,1988-03-13
10451,Bodh,Ranta,1952-10-06,1988-03-12
10453,Tsvetan,Matzel,1953-07-19,1985-04-02
10463,Ung,Zaiane,1954-05-20,1987-12-25
10466,Jiakeng,Himler,1954-12-25,1985-09-29
10486,Amstein,Kossowski,1952-08-24,1987-10-08
10494,Yakkov,Servieres,1953-12-21,1986-01-18
10504,Xiong,Varker,1953-04-07,1988-12-03
10512,Udi,Gihr,1955-11-16,1986-01-12
10519,Yonghoan,Alencar,1955-12-28,1986-03-22
10522,Marke,Cesareni,1955-07-24,1986-12-12
10538,Przemyslawa,Falby,1955-08-18,1987-07-23
10541,Godehard,Eiter,1955-11-05,1986-02-28
10548,Ramalingam,Gunderson,1952-06-12,1986-05-04
10564,Jianhao,Thisen,1955-04-14,1986-05-08
10575,Theirry,Yeung,1954-06-29,1988-10-04
10591,Hidde,Hettesheimer,1952-12-22,1987-06-18
10608,Adhemar,Talmor,1955-07-11,1986-05-25
10617,Hidekazu,Angel,1955-01-26,1985-03-29
10623,Aleksander,Danlos,1953-07-11,1987-03-07
10628,Krisda,Krogh,1954-04-18,1985-09-11
10629,Lalit,Francisci,1954-03-23,1986-01-30
10631,Inderjeet,Chaudhuri,1955-05-17,1988-02-16
10642,Hirochika,Narlikar,1955-12-19,1986-08-06
10653,Otmar,Feinberg,1953-06-16,1987-04-30
10671,Parviz,Rebaine,1953-06-12,1987-01-08
10672,Bluma,Zeilberger,1954-03-23,1986-07-13
10676,Valeri,Danley,1953-08-26,1986-03-20
10693,Berhard,Daescu,1953-12-14,1986-01-08
10694,Rildo,Straney,1955-12-16,1988-01-26
10702,Bader,Szemeredi,1952-11-25,1985-07-23
10718,Adib,Rullman,1955-12-19,1988-07-21
10726,Zita,Minakawa,1954-01-11,1985-09-01
10731,Fumitaka,Peak,1952-11-17,1987-02-20
10734,Sachar,Erdi,1954-07-06,1985-04-03
10745,Poorav,Ranze,1953-10-23,1987-05-26
10749,King,Brendel,1955-08-21,1985-09-26
10751,Jordanka,Ushiama,1952-12-02,1987-04-15
10767,Monique,Doering,1954-02-28,1987-06-17
10768,Ishfaq,Candan,1955-06-24,1985-07-04
10777,Mizuhito,Kemmerer,1955-08-11,1988-07-05
10778,Selwyn,Merey,1953-03-13,1986-07-04
10791,Tadahiko,Sgarro,1954-05-27,1988-07-30
10795,Supot,Naudin,1954-12-14,1985-05-21
10803,Katsuyuki,Velasco,1952-09-15,1988-04-20
